Year,Date,Region,Location,PlotID,Latitude,Longitude,EncounterType,FlagCode,FlagColor,CurrentFlagCode,CurrentFlagColor,Age,Sex,TrackerType1,TrackerType2,TrackerStatus1,TrackerStatus2,Observer,Comments
2023,7/18/2023,Alaska,Nome,34 MI,64.81756,-165.93160,R,1PP,FEDG,1PP,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/18/2023,Alaska,Nome,34 MI,64.81734,-165.95676,R,1PT,FEDG,1PT,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/21/2023,Alaska,Nome,37 MI,64.85134,-166.08759,R,1KU,FEDG,1KU,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/21/2023,Alaska,Nome,34 MI,64.82609,-166.03692,R,1MY,FEDG,1MY,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/21/2023,Alaska,Nome,34 MI,64.82116,-166.01345,R,1PC,FEDG,1PC,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/22/2023,Alaska,Nome,Feather,64.84862,-165.94324,R,1NN,FEDG,1NN,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/23/2023,Alaska,Nome,34 MI,64.82463,-166.03568,R,1MY,FEDG,1MY,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/23/2023,Alaska,Nome,34 MI,64.81904,-165.92871,R,1PP,FEDG,1PP,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/23/2023,Alaska,Nome,34 MI,64.81723,-165.95895,R,1PT,FEDG,1PT,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/15/2023,Alaska,Nome,37 MI,64.83620,-166.07298,R,1TH,FEDG,1TH,FEDG,L,,,,,,ZPohlen,Juvenile captured and flagged
2023,7/18/2023,Alaska,Nome,37 MI,64.83844,-166.06918,R,1TH,FEDG,1TH,FEDG,L,,,,,,ZPohlen,Juvenile
2023,7/15/2023,Alaska,Nome,37 MI,64.83620,-166.07298,R,1TE,FEDG,1TE,FEDG,L,,,,,,ZPohlen,Juvenile captured and flagged
