Year,StateProvince,City,PlotName,Latitude_dec,Longitude_dec,Date,CaptureTime_2400,SpeciesCode,BanderID,ScribeID,BandSize,BandNumberIn,FlagColorIn,FlagCodeIn,ULIn,LLIn,URIn,LRIn,BandNumberOut,FlagColorOut,FlagCodeOut,ULOut,LLOut,UROut,LROut,TagType1,TagStatus1,TagID1,TagType2,TagStatus2,TagID2,BBLDisposition,BBLStatus,BBLCondition,Age,HowAged,FieldSex,CHDSex,HowSexed,CulmenLength_mm,CulmenDepth_mm,CulmenWidth_mm,NaresTip_mm,TotalHead_mm,Tarsus_mm,Wing_mm,P10_mm,P10Exposed_mm,FatScore,Mass_g,CaptureMethod,NestID,BroodID,ChickAgeType,EstHatchDate,ChickAge_d,Feather,FeatherType1,FeatherType2,Blood,BloodFilter,BloodIsotope,Fecal,Notes
2023,Alaska,Nome,37 MI,64.83804,-166.06932,7/8/2023,8:45,REKN,ZMPohlen,KHunt,2,123233635,,,,,,X,123233635,,,,,,X,,,,,,,R,300,7,L,NF,U,,NA,22.5,6.3,5.3,17.3,50.9,33.9,,56,28.8,,88.4,HA,J01,1CX,Known,6/24/2023,14,N,,,N,,,Y,Fecal: 1425
2023,Alaska,Nome,37 MI,64.8362,-166.07298,7/15/2023,14:47,REKN,ZMPohlen,CFGesmundo,2,123233635,,,,,,X,123233635,Dg,1TH,Flag,,,X,,,,,,,R,369,7,L,NF,U,,NA,26.3,6.4,5.4,20,55.5,35,,86.7,70.5,,102.2,MN,J01,1CX,Known,6/24/2023,21,N,,,N,,,Y,Fecal: 1339
2023,Alaska,Nome,37 MI,64.83844,-166.06918,7/18/2023,19:47,REKN,ZMPohlen,CFGesmundo,2,123233635,Dg,1TH,Flag,,,X,123233635,Dg,1TH,Flag,,,X,,,,,,,R,369,7,L,NF,U,,NA,28.3,6.7,5.4,21.6,57.4,35,,98.5,85.7,,110.7,MN,J01,1CX,Known,6/24/2023,24,N,,,N,,,Y,Fecal: 1349
2023,Alaska,Nome,37 MI,64.85334,-166.08131,6/24/2023,16:41,REKN,ZMPohlen,KHunt,2,,,,,,,,123233636,,,,,,X,,,,,,,1,318,7,L,NF,U,,NA,12,3.9,3.4,9.2,32.5,26.5,,0.4,0,,13.8,HA,J01,1CX,Known,6/24/2023,0,Y,down,,Y,Y,,,
2023,Alaska,Nome,37 MI,64.85534,-166.07919,6/26/2023,12:00,REKN,ZMPohlen,KHunt,2,123233636,,,,,,X,123233636,,,,,,X,,,,,,,R,300,7,L,NF,U,,NA,12.5,4.3,3.7,11,34.8,27.5,,2.6,0,,15,HA,J01,1CX,Known,6/24/2023,2,N,,,N,,,Y,Fecal: 1166
2023,Alaska,Nome,37 MI,64.85156,-166.08131,6/29/2023,16:34,REKN,ZMPohlen,KHunt,2,123233636,,,,,,X,123233636,,,,,,X,,,,,,,R,300,7,L,NF,U,,NA,15.7,5.1,4.2,12.8,39.8,28.9,,8.6,1.2,,28.5,HA,J01,1CX,Known,6/24/2023,5,N,,,N,,,Y,Fecal: 1189
2023,Alaska,Nome,37 MI,64.85502,-166.07948,7/2/2023,13:06,REKN,ZMPohlen,KHunt,2,123233636,,,,,,X,123233636,,,,,,X,,,,,,,R,300,7,L,NF,U,,NA,19.9,5.6,4.2,15.6,44.6,30,,24.1,6.9,,50,HA,J01,1CX,Known,6/24/2023,8,N,,,N,,,Y,Fecal: 1208
2023,Alaska,Nome,37 MI,64.84035,-166.0783,7/5/2023,12:12,REKN,ZMPohlen,KHunt,2,123233636,,,,,,X,123233636,,,,,,X,,,,,,,R,300,7,L,NF,U,,NA,21.6,5.8,4.9,17,48.6,31.4,,40.8,16.8,,68.1,HA,J01,1CX,Known,6/24/2023,11,Y,body,,N,,,Y,"Fecal: 1382, 1384, Adult 1CX fecal sample: 1383"
2023,Alaska,Nome,37 MI,64.83804,-166.06932,7/8/2023,8:45,REKN,ZMPohlen,KHunt,2,123233636,,,,,,X,123233636,,,,,,X,,,,,,,R,300,7,L,NF,U,,NA,22.5,6.3,4.6,17.1,50.9,32.5,,52.9,27,,89.4,HA,J01,1CX,Known,6/24/2023,14,N,,,N,,,Y,Fecal: 1427
2023,Alaska,Nome,37 MI,64.83555,-166.07179,7/11/2023,10:56,REKN,ZMPohlen,KHunt,2,123233636,,,,,,X,123233636,,,,,,X,,,,,,,R,300,7,L,NF,U,,NA,24.6,6.4,4.9,19,53.2,33.1,,68.2,42.7,,102.9,HA,J01,1CX,Known,6/24/2023,17,Y,S4,,N,,,Y,Fecal: 1452
2023,Alaska,Nome,37 MI,64.8362,-166.07298,7/15/2023,14:47,REKN,ZMPohlen,CFGesmundo,2,123233636,,,,,,X,123233636,Dg,1TE,Flag,,,X,,,,,,,R,369,7,L,NF,U,,NA,25.9,6.6,5,20.6,56.2,33.4,,88.2,69.7,,108.9,MN,J01,1CX,Known,6/24/2023,21,N,,,N,,,Y,Fecal: 1338
2023,Alaska,Nome,37 MI,64.83844,-166.06918,7/18/2023,19:47,REKN,ZMPohlen,CFGesmundo,2,123233636,Dg,1TE,Flag,,,X,123233636,Dg,1TE,Flag,,,X,,,,,,,R,369,7,L,NF,U,,NA,28.9,6.6,5.4,22.4,59.3,34,,97.7,82.3,,114.1,MN,J01,1CX,Known,6/24/2023,24,N,,,N,,,Y,Fecal: 1348
2023,Alaska,Nome,37 MI,64.85334,-166.08131,6/25/2023,16:41,REKN,ZMPohlen,KHunt,2,,,,,,,,123233637,,,,,,X,,,,,,,1,318,7,L,NF,U,,NA,11.5,3.6,3.2,9.1,32.1,26.2,,0.3,0,,13.3,HA,J01,1CX,Known,6/24/2023,1,Y,down,,Y,Y,,,
2023,Alaska,Nome,37 MI,64.85534,-166.07919,6/26/2023,12:00,REKN,ZMPohlen,KHunt,2,123233637,,,,,,X,123233637,,,,,,X,,,,,,,R,300,7,L,NF,U,,NA,11.9,4.2,3.6,10,33.6,27.4,,0.9,0,,13.5,HA,J01,1CX,Known,6/24/2023,2,N,,,N,,,Y,Fecal: 1165
2023,Alaska,Nome,37 MI,64.85156,-166.08131,6/29/2023,16:34,REKN,ZMPohlen,KHunt,2,123233637,,,,,,X,123233637,,,,,,X,,,,,,,R,300,7,L,NF,U,,NA,15.6,4.8,3.8,12,38.2,28.8,,5.5,0,,24.6,HA,J01,1CX,Known,6/24/2023,5,N,,,N,,,Y,Fecal: 1188
