BAND NUMBER,BAND_SIZE,BAND_TYPE,ISSUE OR TRANSFER REQUEST DATE
142263711,2,BE,04/04/2024
142263712,2,BE,04/04/2024
142263713,2,BE,04/04/2024
142263714,2,BE,04/04/2024
142263715,2,BE,04/04/2024
142263716,2,BE,04/04/2024
142263717,2,BE,04/04/2024
142263718,2,BE,04/04/2024
142263719,2,BE,04/04/2024
142263720,2,BE,04/04/2024
142263721,2,BE,04/04/2024
142263722,2,BE,04/04/2024
142263723,2,BE,04/04/2024
142263724,2,BE,04/04/2024
142263725,2,BE,04/04/2024
142263726,2,BE,04/04/2024
142263727,2,BE,04/04/2024
142263728,2,BE,04/04/2024
142263729,2,BE,04/04/2024
142263730,2,BE,04/04/2024
142263731,2,BE,04/04/2024
142263732,2,BE,04/04/2024
142263733,2,BE,04/04/2024
142263734,2,BE,04/04/2024
142263735,2,BE,04/04/2024
142263736,2,BE,04/04/2024
142263737,2,BE,04/04/2024
142263738,2,BE,04/04/2024
142263739,2,BE,04/04/2024
142263740,2,BE,04/04/2024
142263741,2,BE,04/04/2024
142263742,2,BE,04/04/2024
142263743,2,BE,04/04/2024
142263744,2,BE,04/04/2024
142263745,2,BE,04/04/2024
142263746,2,BE,04/04/2024
142263747,2,BE,04/04/2024
142263748,2,BE,04/04/2024
142263749,2,BE,04/04/2024
142263750,2,BE,04/04/2024
142263751,2,BE,04/04/2024
142263752,2,BE,04/04/2024
142263753,2,BE,04/04/2024
142263754,2,BE,04/04/2024
142263755,2,BE,04/04/2024
142263756,2,BE,04/04/2024
142263757,2,BE,04/04/2024
142263758,2,BE,04/04/2024
142263759,2,BE,04/04/2024
142263760,2,BE,04/04/2024
142263761,2,BE,04/04/2024
142263762,2,BE,04/04/2024
142263763,2,BE,04/04/2024
142263764,2,BE,04/04/2024
142263765,2,BE,04/04/2024
142263766,2,BE,04/04/2024
142263767,2,BE,04/04/2024
142263768,2,BE,04/04/2024
142263769,2,BE,04/04/2024
142263770,2,BE,04/04/2024
142263771,2,BE,04/04/2024
142263772,2,BE,04/04/2024
142263773,2,BE,04/04/2024
142263774,2,BE,04/04/2024
142263775,2,BE,04/04/2024
142263776,2,BE,04/04/2024
142263777,2,BE,04/04/2024
142263778,2,BE,04/04/2024
142263779,2,BE,04/04/2024
142263780,2,BE,04/04/2024
142263781,2,BE,04/04/2024
142263782,2,BE,04/04/2024
142263783,2,BE,04/04/2024
142263784,2,BE,04/04/2024
142263785,2,BE,04/04/2024
142263786,2,BE,04/04/2024
142263787,2,BE,04/04/2024
142263788,2,BE,04/04/2024
142263789,2,BE,04/04/2024
142263790,2,BE,04/04/2024
142263791,2,BE,04/04/2024
142263792,2,BE,04/04/2024
142263793,2,BE,04/04/2024
142263794,2,BE,04/04/2024
142263795,2,BE,04/04/2024
142263796,2,BE,04/04/2024
142263797,2,BE,04/04/2024
142263798,2,BE,04/04/2024
142263799,2,BE,04/04/2024
142263800,2,BE,04/04/2024
142263801,2,BE,04/04/2024
142263802,2,BE,04/04/2024
142263803,2,BE,04/04/2024
142263804,2,BE,04/04/2024
142263805,2,BE,04/04/2024
142263806,2,BE,04/04/2024
142263807,2,BE,04/04/2024
142263808,2,BE,04/04/2024
142263809,2,BE,04/04/2024
142263810,2,BE,04/04/2024
142263811,2,BE,04/04/2024
142263812,2,BE,04/04/2024
142263813,2,BE,04/04/2024
142263814,2,BE,04/04/2024
142263815,2,BE,04/04/2024
142263816,2,BE,04/04/2024
142263817,2,BE,04/04/2024
142263818,2,BE,04/04/2024
142263819,2,BE,04/04/2024
142263820,2,BE,04/04/2024
142263821,2,BE,04/04/2024
142263822,2,BE,04/04/2024
142263823,2,BE,04/04/2024
142263824,2,BE,04/04/2024
142263825,2,BE,04/04/2024
142263826,2,BE,04/04/2024
142263827,2,BE,04/04/2024
142263828,2,BE,04/04/2024
142263829,2,BE,04/04/2024
142263830,2,BE,04/04/2024
142263831,2,BE,04/04/2024
142263832,2,BE,04/04/2024
142263833,2,BE,04/04/2024
142263834,2,BE,04/04/2024
142263835,2,BE,04/04/2024
142263836,2,BE,04/04/2024
142263837,2,BE,04/04/2024
142263838,2,BE,04/04/2024
142263839,2,BE,04/04/2024
142263840,2,BE,04/04/2024
142263841,2,BE,04/04/2024
142263842,2,BE,04/04/2024
142263843,2,BE,04/04/2024
142263844,2,BE,04/04/2024
142263845,2,BE,04/04/2024
142263846,2,BE,04/04/2024
142263847,2,BE,04/04/2024
142263848,2,BE,04/04/2024
142263849,2,BE,04/04/2024
142263850,2,BE,04/04/2024
142263851,2,BE,04/04/2024
142263852,2,BE,04/04/2024
142263853,2,BE,04/04/2024
142263854,2,BE,04/04/2024
142263855,2,BE,04/04/2024
142263856,2,BE,04/04/2024
142263857,2,BE,04/04/2024
142263858,2,BE,04/04/2024
142263859,2,BE,04/04/2024
142263860,2,BE,04/04/2024
142263861,2,BE,04/04/2024
142263862,2,BE,04/04/2024
142263863,2,BE,04/04/2024
142263864,2,BE,04/04/2024
142263865,2,BE,04/04/2024
142263866,2,BE,04/04/2024
142263867,2,BE,04/04/2024
142263868,2,BE,04/04/2024
142263869,2,BE,04/04/2024
142263870,2,BE,04/04/2024
142263871,2,BE,04/04/2024
142263872,2,BE,04/04/2024
142263873,2,BE,04/04/2024
142263874,2,BE,04/04/2024
142263875,2,BE,04/04/2024
142263876,2,BE,04/04/2024
142263877,2,BE,04/04/2024
142263878,2,BE,04/04/2024
142263879,2,BE,04/04/2024
142263880,2,BE,04/04/2024
142263881,2,BE,04/04/2024
142263882,2,BE,04/04/2024
142263883,2,BE,04/04/2024
142263884,2,BE,04/04/2024
142263885,2,BE,04/04/2024
142263886,2,BE,04/04/2024
142263887,2,BE,04/04/2024
142263888,2,BE,04/04/2024
